Stethoscope	ECG
0.0253296	-0.0500488
0.444031	-0.0479126
0.790405	-0.0466919
0.924988	-0.0466919
0.8078	-0.0476074
0.471191	-0.0485229
0.00396729	-0.0479126
-0.292664	-0.0454712
-0.412903	-0.0405884
-0.583191	-0.0335693
-0.596924	-0.0262451
-0.441284	-0.0204468
-0.21637	-0.0146484
0.0512695	-0.00854492
0.26062	-0.00518799
0.35614	-0.00518799
0.360718	-0.00823975
0.294495	-0.0125122
0.162659	-0.0170898
0.0317383	-0.0210571
-0.0463867	-0.0253296
-0.0817871	-0.0283813
-0.0958252	-0.0283813
-0.0930786	-0.0265503
-0.0808716	-0.0247192
-0.0665283	-0.0231934
-0.0442505	-0.020752
-0.0286865	-0.0177002
-0.0418091	-0.0149536
-0.032959	-0.0128174
0.0567627	-0.0131226
0.10437	-0.015564
0.078125	-0.0180054
0.0149536	-0.0192261
-0.039978	-0.0204468
-0.0744629	-0.0210571
-0.0726318	-0.0210571
-0.0473022	-0.0210571
-0.00915527	-0.0210571
0.0247192	-0.0210571
0.0473022	-0.0198364
0.0616455	-0.0170898
0.0634766	-0.012207
0.0579834	-0.00579834
0.0509644	0.00183105
0.0210571	0.0109863
-0.0299072	0.0192261
-0.0848389	0.0241089
-0.118103	0.0253296
-0.114441	0.0244141
-0.0802612	0.0231934
-0.0143433	0.022583
0.0515747	0.0228882
0.0872803	0.0228882
0.100098	0.0219727
0.0949097	0.0210571
0.0668335	0.0219727
0.0314331	0.0250244
-0.0128174	0.0299072
-0.0570679	0.0363159
-0.0906372	0.043335
-0.0997925	0.0494385
-0.0738525	0.0543213
-0.0445557	0.0582886
-0.0167847	0.0622559
0.0189209	0.0662231
0.0497437	0.0714111
0.0765991	0.0775146
0.0759888	0.0839233
0.0561523	0.0900269
0.03479	0.0942993
0.00579834	0.0976563
-0.0292969	0.101318
-0.0680542	0.10498
-0.0772095	0.107727
-0.0488281	0.109863
-0.00854492	0.111694
0.039978	0.113525
0.0894165	0.116577
0.0720215	0.12085
0.0088501	0.126648
-0.0238037	0.133057
-0.0411987	0.138245
-0.0491333	0.143127
-0.0421143	0.148315
-0.0164795	0.152893
0.015564	0.15625
0.043335	0.158081
0.0552368	0.158997
0.0482178	0.159912
0.0320435	0.158997
0.00274658	0.156555
-0.0238037	0.153503
-0.0527954	0.150146
-0.0717163	0.14801
-0.0540161	0.14679
-0.0204468	0.145874
0.00274658	0.144958
0.0247192	0.144348
0.03479	0.143738
0.0289917	0.142212
0.00823975	0.139771
-0.00793457	0.135498
-0.010376	0.128784
-0.0201416	0.119934
-0.0222778	0.110474
-0.00762939	0.0991821
0.012207	0.0857544
0.0308228	0.0717163
0.0515747	0.0579834
0.062561	0.0463867
0.0402832	0.0366211
0.00823975	0.0280762
-0.0134277	0.0195313
-0.0369263	0.0112915
-0.0494385	0.00518799
-0.0558472	0
-0.0689697	-0.00518799
-0.067749	-0.00946045
-0.0497437	-0.0140381
-0.0231934	-0.0198364
0.00610352	-0.0253296
0.0256348	-0.0299072
0.0442505	-0.0344849
0.0491333	-0.0396729
0.0494385	-0.0436401
0.055542	-0.0466919
0.0497437	-0.0500488
0.0326538	-0.0534058
-0.0128174	-0.055542
-0.127258	-0.0558472
-0.238342	-0.0549316
-0.0701904	-0.0540161
0.393372	-0.0537109
0.570984	-0.0531006
0.340271	-0.0512695
0.0418091	-0.0488281
-0.324402	-0.0463867
-0.632629	-0.0436401
-0.673218	-0.0424194
-0.503235	-0.043335
-0.210876	-0.0460815
0.0875854	-0.0482178
0.319824	-0.0488281
0.505676	-0.0482178
0.583801	-0.0469971
0.535889	-0.0460815
0.394592	-0.0463867
0.172424	-0.0460815
-0.071106	-0.0436401
-0.289001	-0.0396729
-0.442505	-0.0350952
-0.484924	-0.0317383
-0.446167	-0.0289917
-0.328674	-0.0265503
-0.126038	-0.0241089
0.101013	-0.022583
0.30304	-0.0238037
0.397034	-0.0262451
0.360413	-0.0280762
0.232849	-0.0286865
0.0561523	-0.0286865
-0.0946045	-0.0274658
-0.200195	-0.0253296
-0.24292	-0.0234985
-0.198364	-0.0213623
-0.108337	-0.0201416
-0.000305176	-0.0201416
0.078125	-0.020752
0.104065	-0.020752
0.103455	-0.0204468
0.0689697	-0.0201416
0.0326538	-0.0204468
0.00549316	-0.0204468
-0.0244141	-0.0189209
-0.0457764	-0.017395
-0.0296021	-0.0167847
0.00671387	-0.0167847
0.0308228	-0.0161743
0.0384521	-0.0146484
0.0219727	-0.0125122
-0.0106812	-0.0115967
-0.0357056	-0.0119019
-0.0418091	-0.0137329
-0.0363159	-0.0167847
-0.0128174	-0.0189209
0.00946045	-0.0195313
0.0238037	-0.0189209
0.0311279	-0.0177002
0.0292969	-0.0167847
0.0326538	-0.0167847
0.0247192	-0.0167847
-0.00152588	-0.0164795
-0.0341797	-0.0152588
-0.0637817	-0.0146484
