L I	L III	L II(Calc.)
-0.0418091	-0.015564	-0.057373
-0.0411987	-0.015564	-0.0567627
-0.0402832	-0.015564	-0.0558472
-0.038147	-0.0158691	-0.0540161
-0.03479	-0.0161743	-0.0509644
-0.0311279	-0.0161743	-0.0473022
-0.0289917	-0.0158691	-0.0448608
-0.0296021	-0.0152588	-0.0448608
-0.0320435	-0.0152588	-0.0473022
-0.0335693	-0.0158691	-0.0494385
-0.0314331	-0.0170898	-0.0485229
-0.0289917	-0.0180054	-0.0469971
-0.0292969	-0.0180054	-0.0473022
-0.0308228	-0.0177002	-0.0485229
-0.0305176	-0.0177002	-0.0482178
-0.027771	-0.0183105	-0.0460815
-0.0250244	-0.0186157	-0.0436401
-0.0231934	-0.0186157	-0.0418091
-0.0219727	-0.0183105	-0.0402832
-0.0216675	-0.017395	-0.0390625
-0.0228882	-0.0167847	-0.0396729
-0.0253296	-0.0164795	-0.0418091
-0.0280762	-0.0167847	-0.0448608
-0.0317383	-0.0177002	-0.0494385
-0.0350952	-0.0189209	-0.0540161
-0.0378418	-0.0198364	-0.0576782
-0.0405884	-0.0201416	-0.06073
-0.0427246	-0.020752	-0.0634766
-0.0430298	-0.0213623	-0.0643921
-0.0411987	-0.0219727	-0.0631714
-0.0375366	-0.0219727	-0.0595093
-0.032959	-0.0210571	-0.0540161
-0.0308228	-0.0198364	-0.0506592
-0.0317383	-0.0180054	-0.0497437
-0.0344849	-0.0161743	-0.0506592
-0.0369263	-0.0143433	-0.0512695
-0.0384521	-0.0125122	-0.0509644
-0.0408936	-0.0106812	-0.0515747
-0.0445557	-0.0088501	-0.0534058
-0.0491333	-0.00732422	-0.0564575
-0.0527954	-0.00579834	-0.0585938
-0.055542	-0.00518799	-0.06073
-0.057373	-0.00488281	-0.0622559
-0.0582886	-0.00488281	-0.0631714
-0.0576782	-0.00549316	-0.0631714
-0.0564575	-0.00579834	-0.0622559
-0.0558472	-0.00579834	-0.0616455
-0.0558472	-0.00610352	-0.0619507
-0.0558472	-0.00610352	-0.0619507
-0.0564575	-0.00610352	-0.062561
-0.057373	-0.00549316	-0.0628662
-0.0585938	-0.00457764	-0.0631714
-0.0592041	-0.00396729	-0.0631714
-0.0582886	-0.00305176	-0.0613403
-0.0552368	-0.00213623	-0.057373
-0.0509644	-0.000610352	-0.0515747
-0.0460815	0.0012207	-0.0448608
-0.0424194	0.00396729	-0.0384521
-0.0396729	0.00793457	-0.0317383
-0.038147	0.0128174	-0.0253296
-0.038147	0.0186157	-0.0195313
-0.0390625	0.0253296	-0.0137329
-0.0393677	0.032959	-0.00640869
-0.039978	0.0408936	0.000915527
-0.0408936	0.0494385	0.00854492
-0.0411987	0.0579834	0.0167847
-0.0418091	0.0653076	0.0234985
-0.0418091	0.071106	0.0292969
-0.0424194	0.0747681	0.0323486
-0.0427246	0.0778198	0.0350952
-0.0430298	0.0802612	0.0372314
-0.0424194	0.0817871	0.0393677
-0.0405884	0.0830078	0.0424194
-0.0387573	0.0836182	0.0448608
-0.0366211	0.0842285	0.0476074
-0.0320435	0.0842285	0.0521851
-0.0247192	0.0842285	0.0595093
-0.015564	0.0845337	0.0689697
-0.00579834	0.085144	0.0793457
0.00518799	0.0863647	0.0915527
0.0170898	0.0863647	0.103455
0.0280762	0.0836182	0.111694
0.0378418	0.078125	0.115967
0.0466919	0.0708008	0.117493
0.0531006	0.062561	0.115662
0.0558472	0.0549316	0.110779
0.0540161	0.0476074	0.101624
0.0488281	0.039978	0.0888062
0.0415039	0.0323486	0.0738525
0.0335693	0.0241089	0.0576782
0.0259399	0.0167847	0.0427246
